tweets,location,category,latitude,longitude
  We got more excited not abt only winning the match but the king dhoni who was the sole reason and his winning shot( the f,Navi dilli,negative,NA,NA
" in this IPL's highest run scorer list there are SIX indian batsmen in top 15 who are wk-batsmen 
1.)Rayudu
2.)Samson
3.)Rahul
4.)Pant
5.)Dhoni
6.)Karthik .
Your thoughts on that . 
 ","Rajkot, India",positive,22.3045769,70.802161
"   beat  by 5 wickets 

     ",Trichegode,negative,NA,NA
  Yo the best team ..         ,secunderabad,positive,17.4690889,78.5059176
"Why Bengali actor  got emotional on  for  ?            films   

 ",Mumbai/ India,positive,19.1334321,72.8882172
 great job Akash game plan Chopra,Solapur,positive,17.6715272,75.8975502
"Who will win today
                ","Madhepura, India",positive,25.9174142,86.7915907
" :-i'm so happy to  win,  , but i want to know till last night from  why not bowl  .still shocked  ??   ",Jodhpur,positive,26.2967719,73.0351433
"  If you would have a message for  what would that be? 

     ",Natus Ad Majora,negative,NA,NA
" Match No 25
 vs  
Williamson Vs Ashwin... 
.
8.00PM, In Hydrabad... 

All The Best... 

 ",HotelDelight RoomNo.205 Mumbai,negative,NA,NA
"  let's  and   Match Between            
Download app  ",On The Play Store for FREE,negative,NA,NA
  Last leg of the day.. And its a wrap!TEAM  in association with  ,"Dhaka, Bangladesh",negative,23.7593572,90.3788136
"   became more hard for  &amp;  than expected
","Hawaii, USA",negative,21.2160437,-157.975203
it was great to see  leave the wide balls yesterday. anyone else would have chased it. I believe that made all the difference!!     ,Toronto,positive,43.653963,-79.387207
"Most Highest Live View In  In  Because Mahi Mar Raha Tha
   ","Surat ,Gujarat ",negative,21.1864607,72.8081281
"  Supperrbbb finished by MSD 

i m missing live ipl match in my state Gujarat..
Hope to watch....
 
 
","à¤—à¥�à¤œà¤°à¤¾à¤¤, à¤­à¤¾à¤°à¤¤",positive,NA,NA
 Sir Are You Watching Daily In ,"Gujarat, India",negative,23.1923325,71.9329241
"He STILL has IT 
He is  IT  

  
     ","Abu Dhabi, United Arab Emirates",negative,23.99764435,53.6439097569213
"  Your captaincy is the reason I still watch  Please don't break my heart. 
You were and always shall be a  for me.
Love you  ","Jaysingpur,Kolhapur",positive,16.7789886,74.5564244
"Don't know why Tim Southee is not getting a match for   . There playing 11 should be ----
M Vohra
Q Dekock*
V Kohli
AB Devilliers*
M Singh
W Sundar
C Woakes*
T Southee*
U Yadav
M Siraj
Y Chahal
  ",Cricket Ka Maidan,positive,NA,NA
  Even 206 is not enough for  bowlers.  ,"Srinagar, India",negative,34.0747444,74.8204443
" 'StarPlus' 

  and  cant stop cheering for their favourite teams!  
.
     


  ",Malaysia,negative,2.3923759,112.8471939
Awesome game!! Captain Cool MS Dhoni    ,"Ceres, Western Cape",positive,-33.368333,19.309167
"No words!  We r really going to miss you terribly once you quit.
 
There won't be another  ever!
Cherishing all of you!       ", VARANASI,negative,25.3356491,83.0076292
" who's the best power hitter  , ","Kosi Kalan, India",positive,NA,NA
World class innings from  brilliant knock                         ,"Kolkata,India",positive,22.5677459,88.3476023
Voice of victory   ,"Kannur,kerala, INDIA",negative,11.8762254,75.3738043
  Great to see 2 Punjabi bowlers   at top 2 position for Purple cap at almost mid way in tournament ,"Toronto and Chandigarh, India ",positive,NA,NA
 It doesn't matter what the other said about your lose  but we will always be there with Rohit  and with you paltan. We know at last paltan will hit all the way with a strong comeback       ,Bhopal ,positive,23.2530923,77.3962718
"  Dhoni finishes off in style, yet again! 

   

   ",Singapore,negative,1.2904753,103.8520359
" poor bowling by RCB yesterday
My next match squad for RCB
de cock
Baz
VK
Mr.360
Mandi
Sundar
Southee
Yadev
Siraj
chahal
Kulwant.
   ","Thanjavur, India",negative,10.7860267,79.1381497
"Mumbai Indians' strategy at the moment - lets play no more games, let RCB and DD lose all their remaining ones, we still finish 6th - respectable! ","KL, Malaysia",positive,3.1546872,101.7136362
"     WINNING Post Telegram Channel

            
   ",t.me/halaplayteam,positive,NA,NA
comfortable win for the legendary  Good partnership carries  throughout the game!!! After seeing  Storm.. did  put up a best score against      ,"Secunderabad, Hyderabad",positive,17.4690889,78.5059176
"  Legend  doesn't need Aadhaar card, he can just ""Swing it like Dhoni"" to prove his identity. 

 ",warangal,positive,17.9899747,79.6043994
"  Any tweet done on  gets you satisfied....
After all he is the  top most finisher in the world of cricket","Hardoi, India",positive,27.4164715,80.2473372
"Dear  
Please provide Pressure Tablet for fans and Audience..  

 ","Aruppukottai,Tamilnadu",positive,9.5801104,77.9533295
" Dhoni!!!! U beauty....I hate him really...he didnt show his nerves neither he celebrates..I m sitting on the edge n jumping up n down but the Cool MSD
Still the best finisher of the game       ",Qatar,positive,25.22803095,55.17332793087
This csk win reminded me of our 2011 World Cup final. This time its  who gets over shadowed by    ,Aamchi Mumbai,positive,NA,NA
What a magnificent inning by msd  mar rha tha....    ,SATNA ,positive,24.5,81.0
Incrideble.. the vintage   grt knock.   .., Puri odisha,negative,19.8076083,85.8252538
 you beauty what a player  falling short  of words !!  ,"Dubai , United Arab Emirates ",positive,25.0750095,55.1887608818332
33sixes were hit yesterday in   match in   it's a highest sixes record  in       ,"Haldia, India",negative,22.028124,88.0632655
"Masterclass from   taking   to a huge win against  in the  , this win means a lot for many reasons       ","India , UAE",positive,25.23117105,55.1797133848003
"   special !special !special! 

Ice wins the fire ! 
Cool wins the aggression!
Guru won the student!
Seniors won",Pitcairn Islands,positive,-25.0657719,-130.1017823
  I am big fan of  I don't know what happened for  thank you  for your new chapter  want to learn more     ,"Dubai, United Arab Emirates",positive,25.0750095,55.1887608818332
"  Winning moments
What a game to watch
          ",Tamil nadu,positive,10.9094334,78.3665347
Awesome innings by   vintage Dhoni  ,"bhavnagar,Gujarat, India",positive,21.7718836,72.1416449
"1st &amp; 2nd Position. Best V's Best ( AB v's AB )
 
 
 ",NEW-DELHI,positive,28.6141793,77.2022662
Yes please don't blame her she is not playing for     ,varun ki kheyalo mai ,positive,NA,NA
"His power-packed  performance   made  beat such a  big score.  &amp;  awards gets in  
After a long time..  ",Khammam,positive,17.2465351,80.1500326
True Infinite possibilities by Time travellers of last minute thrillers!salute to Captain Mr Dhoni Wow!Cheers To Mr Bravo Respect and admiration for awesome    and we here are all so Happy to have witnessed Magical dream matches  Love! ,Lives in Madras/Bangalore/IN,positive,NA,NA
"  Yesterday it was a bowler's  game today it was a batsmen's game 
   ","Nellore, India",negative,14.4493717,79.9873763
    We are excited to see you in form sir    ,"Nanded, India",positive,18.916667,77.5
"  A chance for  to remind the world that he is still the best finisher in the world,what a hit!   ",Ceylon,positive,41.3717152,-82.493781
"  "" finishes it off in style"" - Quite used to this sentence now!  
Vintage knock by  again!! 

 "," NH 17 Mangalore, Karnataka",positive,15.9231076,75.7622963
  Who says CSK is the senior citizen's league? Wonderful nail biting match! Magnificent innings by  and ,Gusse me,positive,NA,NA
"These matches of  always makes me feel any person can do the impossible especially the  matches and when  is there everything becomes possible 

",ReignsNikki Luv World in India,negative,NA,NA
" in IPL 2018 (so far):-
Matches: 6
Runs :- 209
6s :- 14
50s :- 2
Avg:- 69.7
SR :- 165.8
HS :- 79*
This has been mahis best IPL with the bat so far!
     ","Tirupati, India",positive,13.6316368,79.4231711
You just have to take your hat off to  and let them join IPL in May every year from now!  ,"Denver, CO",positive,39.7391536,-104.9847034
"Match No 23: MI vs SRH. SRH defended 118 runs. Venue: Wankhade
Match No 24: RCB vs CSK. RCB couldn't defend 205. Venue: Chinnaswamy.

Irony!  vs     ",221B Baker Street,negative,47.3196361,5.0354949
" special !special !special! 

Ice wins the fire ! 
Cool wins the aggression!
Guru won the student!
Seniors won the juniors!
Mahi wins the trolls!
CSK wins the hearts!

Hope RPS Goenka is seeing this.

     ","Getting Used to Mumbai,",positive,NA,NA
The best finisher   ,"Vadodara, Gujarat",positive,22.297076,73.1957373
"What a chase ! Great innings ! Mahi maar rha h  rocks!!! And wonderful   
 
 ",Jaipur,positive,26.916194,75.820349
And likewise this  match is the Most tweeted Match of  With around 94k tweets ,"Birgunj,Nepal",negative,27.012541,84.877998
A perfect projection of agression v/s calmness in  match of    There are many situation in life where U need to be agressive like  to motivate yourself &amp; get going while sometimes U need to be calm like  &amp; sail through &amp; win,Ahmedabad,positive,23.0216238,72.5797068
" beat  by 5 wickets 

         ","Port Blair, India",negative,11.6645348,92.7390448
  RCB needs a new skipper to score good in   because  don't have common swnse. I mean who gives the last important deciding over to a so called bowler who's already 45 in just 3 overs.  lack of common sense.,"Bikaner,Rajasthan",positive,28.166667,73.166667
