tweets,location
"That awkward moment when you are home alone and some guest shows up and now you are thinking what to talk about
     ",online 
 sends notice to   and  Government questions Facebook for measures taken !!!  !!! ,"Mumbai, India"
"Cambridge Analyticas ex-CEO backs down for the second time.

    ","England, United Kingdom"
"Big Brother is watching you. And telling you what to eat. 
My blog on the   and the future of social media. Possibly.
",Chipping Norton
"Now every platform is asking me to read and agree to the updated privacy policy. That's what you get when people are held responsible for failing to perform due diligence. 
 ",Asgard near Midgard.
Anyone else have   and   send you an email about updating their privacy policy? I just got all three in the space of about 5 hrs. I guess theyre reacting to the  ... but still... seems awfully weird its all at once.,"Hamilton, Ontario"
 | India sends notice to Facebook and  Government questions Facebook for measures taken.  ,South Asia
"Facebook willingly handed over data to the man it now blames for the Cambridge Analytica scandal 
  by ","Mississauga, Ontario"
"  I was quite casual about my privacy on internet being just one in BILLIONS. Never thought, Ill bear the direct impact o",
" Advertising and the problem with data. Some thoughts from me: 
  ","London, England"
"I was quite casual about my privacy on internet being just one in BILLIONS. Never thought, Ill bear the direct impact of  Scared. Please delete my data with my deleted accounts. Please dont let others (mis)use it w/o my consent (knowledge). Please,  ","Chicago, IL"
"One great thing about  Cambridge Analytica fuck up is, that all the internet gaints are updating their privacy policies and making it simpler. ","Faridabad, India"
"Facebook Looking To Make Things Right By As It Issues New Guidelines
 
 ",
"  Thanks to Facebook, expect GDPR to spread beyond the EU      ",Buenos Aires. Argentina.
" has finally begun its crackdown on third-party apps from stealing, sharing or spamming your data without permission from its platform as well as from    ","New Delhi, India"
"EXCLUSIVE: FACEBOOK SHUTDOWNS 13 API... Read more 

    ",
"  Where is Zuck? In the news cycle and out faster. 

    ","New Mexico, USA"
  How  can give us back control of our identity and help avoid another  ( scandal htt,"Dameisha, Shenzhen, China"
  Been trying to get my hacked account back for two weeks!Your support is NOT HELPING AT ALL!!!! Looking for any help with getting this resolved!!!    ,
"  FACEBOOK DATA LEAK
When you drop out without finishing your college.
 
 
 
",Cali
" Cheers, you did the right thing, Beautiful. 
   ",Cali
" Let's do this!  

  ",Cali
"  AT WAR WITH CONSERVATIVES 

Facebook,  Google and Blasting TWITTER are at war with Conservatives online 
TIME PATRIOTS","Montana, USA"
" Better later than never bro!

   
 ",Cali
  We welcome the fact that  has one of the highest number of users from India but if any theft of data of Indians take,????
"I have received emails from EVERY service I have ever subscribed to with, ""our privacy policy"" or ""new privacy policy"".   obviously means others too are somehow concerned what it means for them. ",Los Angeles
The Facebook Fallacy: Privacy Is Up to You   via     ,
"  Jesus, is this another reason to leave Facebook?! Agree to the new terms or delete your account?  ",world
I am getting privacy notice updates from all the companies possible after the  leak   .. It is getting too much. Emails are too big to read.,"Austin, TX"
     LOOK WHAT JUST NOW POPPED UP ON MY  ACCOUNT THEY ARE ALREADY MAKING CHANGES TO,
   LOOK WHAT JUST NOW POPPED UP ON MY  ACCOUNT THEY ARE ALREADY MAKING CHANGES TO PROTECT US WE MUST READ AND CHECK WHAT   WE WANT      ,USA
"*Slightly* concerning ----&gt;&gt;  Portent for Your Medical  Too? by Elizabeth Lee Vliet, MD via    ","Iowa, USA"
"  
[in the wake of   updates 

double-check your  settings. 

remember:  platforms like  are free to use bcs they make $$$ selling YOU.

    ",not Russia
"

""But in the newly published material, the universitys psychology research ethics committee says it found the Kogan proposal so worrisome that it took the very rare decision to reject the project""


","Edinburgh, Scotland"
Is it just me or is more or less every tech company in the world now busy sending users emails headlined our new data policy and updated terms? Hmmm. ,London
What  knows about you     ,Earth - Planet
"Is anyone else getting an ungodly amount of Were updating our Terms of Sevice/Privacy Policy emails from all of their accounts?

Seems everyone is taking note from Mark   ","Los Angeles, CA"
"To:             

The British continue to be a security threat to America.  Remember Cambridge Analytica, colluding with Facebook? ",
"Similar to a elementary school dispute, ""I didn't do anything wrong, he did!""-- Kogan claims that  data collection was ""business as usual"". Article via  

    ","Fort Washington, MD"
"Want to replace Facebook? Yeah, me too.

 ","San Diego, CA"
    It will be interesting to see if any class action suit will be explored for non users who feel their data was exploited without their knowledge or permission.,United States
"Interrogating Zuckerberg - a bad lip reading
  ","Edmonton, Alberta, Canada"
"  Since  has become nigh unusable for me, I thought I'd share my story....



. .",NJ
"Dear  Please fix your Graph API bug, STAT. 

Signed,

Every community manager, social customer care agent and digital marketer who uses a social media management tool as part of their day-to-day. 

","Indianapolis, Indiana"
"What Wharton Faculty Would Have Asked Mark Zuckerberg 

  ",India
"Since  has become nigh unusable for me, I thought I'd share my story....



. . . . . . . . . . . . ","Boston, MA"
"  Not many people can pinpoint the day they decided their area of research. 

I had been interested in the topic for a w","England, United Kingdom"
"          The 

 
Fraud
Laundering
18-23 counts each advisor


      ",United States
We got interviewed by Bloomberg on the Facebook Data Scandal and data privacy regulations!    ,"London, England"
"Facebook would, in many ways, prefer that we didnt have the internet. Theyd prefer that we had Facebook. -  

    ","New Delhi, India"
"  Facebook willingly handed over data to the man it now blames for the Cambridge Analytica scandal 
 ht",Israel
"  For those wondering why I prefer Twitter over FB, here's a few screenshots of my personal  privacy bre",lancaster uk
"  Why  government must not collaborate with  cos.

  
  ",
"While it was a small sample size, I believe it is spot on -&gt; 83% of Americans want harsher penalties for privacy breaches     ","Newport, RI"
  The man who sold  Data of 87 million users to  thinks he did nothing wrong. ,
ARE YOU SOCIAL MEDIA SAFE?         ,"Pittsburgh, PA"
"ICYMI: In my latest piece, cybersecurity expert,  weighs in on the  data breach and how this has the power to change data privacy laws for the better.

Read now via 



   ","Dayton, OH"
"Cambridge Analytica : Nix absolutely lied to committee, says Aleksandr Kogan   ","London, England"
"The man who sold  Data of 87 million users to  thinks he did nothing wrong. 
","Mumbai, India"
"Retweeted WION (

Aleksandr  , who worked for the University of Cambridge, is at the centre of a controversy over  use of millions of users` data. 

","Silchar, Assam, India"
"  Aleksandr  , who worked for the University of Cambridge, is at the centre of a controversy over  us","Silchar, Assam, India"
"Did  really outsource email service to a company that is data mining everyone's contacts &amp; messages??    

Exactly like the  issue??

Do you have any info, 

",http://freethepresscanada.org/
  After discussing the  on  with    and Kelser COO &amp; CTO Jon,"Hartford, CT"
"Aleksandr  , who worked for the University of Cambridge, is at the centre of a controversy over  use of millions of users` data. 

",South Asia
"What  knows about you - via 

          ","Chapel hill, NC"
  No time like the present to anonymise your data.  ,
"   capitalize on  new issues

  ","West Bengal, India"
"  Aleksandr Kogan unhappy with questions about his ties to Russia, says US and UK spy too. Damian Collins says: ""I don't k","Manhattan, NY"
" Kogan and Chancellor worked together to harvest and SELL user data. Why are you demonizing Kogan and why is Chancellor on your staff?
 ",
"  How is  different from  Such apps supported/harvested by twitter can update your profile, tweet on your",
  Thread about UK  hearings ,"Florida, USA"
Thread about UK  hearings ,Germany
"  conspired w  to ATTACK US Democracy to steal election 4 

Americans were sold out 4 profit!

BOGUS 2016 ELECTION!









",
"No, 'the media' is not just out to get Facebook because its taking its advertising revenue    ",Melb AUS • Lon UK • Athens GRE
"Golden thread, Silver needle.  ","Leith/Berlin, Berlin/Leith"
"Aleksandr Kogan unhappy with questions about his ties to Russia, says US and UK spy too. Damian Collins says: ""I don't know of any UK agencies interfering in foreign election.""

Kogan: ""Then they're just better at it""

 ","London, England"
Facebook knows a ton about your health. Now they want to make money off it.   ,
   | Controversial app developer Kogan questioned by UK lawmakers on  . Listen in ,
"Facebook has considered profiling its users' personalities and using the information to target adverts.

        

","North West, England"
 | Controversial app developer Kogan questioned by UK lawmakers on  . Listen in  ,South Asia
Dodgy. Dodgy. Dodgy. Everything so far about   app developer Aleksandr Kogan' s answers to UK Parliamentary committee. Hit by Spectre     ,England
"How private is your private data? 
    
",Pale Blue Dot
Good thread here on evidence of Cambridge scientist Aleksander Kogan to DCMS Committee on his use of  data &amp; relationship to  scandal.   ,"Bugbrooke, England"
  facebook Expose     Always    ,"Atlanta, GA"
          ,"New York, New York"
  A cartoon about  Looks like we're sharing our data willingly with Big Brother!   ,Europe
Happend to me  is your data as useless as mine?     ,"Oslo, Norway"
   has impacted  and young tech companies. Receiving mails on how no more their platform can be,
 has impacted  and young tech companies. Receiving mails on how no more their platform can be accessed via FB login feature.,India
"  Facebook is flawed Says Global  Expert KK Mookhey 

 ",United States
A cartoon about  Looks like we're sharing our data willingly with Big Brother!     ,"Leicester, UK"
"Facebook is flawed Says Global  Expert KK Mookhey 

   ","New Delhi, India"
"What's common between Facebook and my a month old nephew ? 

Both of the leak 

Fb has got a tough competition this summer..

","Mumbai, India"
"     is  cambridge analytica. Friends don't get fooled.

", India
"       all exciting projects that will help bring crypto to all!!

Plus... ",
What is this  really all about? Convenience. Do you want it on  or not? Read my post on linkedin to find out more        ,"North East, England"
"  iSocialFanz: Who's To Blame: Facebook or Cambridge Analytica or Us the Users?

Listen to danielnewmanUV and I thoughts on SMACtalkLIVE 


   danielnewmanUV","Milan, Italy"
Five questions that stumped  Mark Zuckerberg:  | By    ,India
"Where is Zuck? In the news cycle and out faster. 

       ",United States
I didn't give any permission to messenger app to read my sms still it is getting access to my sms  ,
"  Maybe its time to admit that data-driven companies, such as Facebook or Google, are holders of strategic global assets whi","Créteil, France"
"Where did this Secret Conversation thing come from on Facebook Messenger? For some reason, Im sure these conversations are automatically intercepted by Russian Intelligence. Right?!?   ","Kansas, USA"
Dah! What? Heres what Facebook knows about you!     ,London
"Good job. I did that long ago my friend. 
  ",Reality
"Jesus, is this another reason to leave Facebook?! Agree to the new terms or delete your account?     ","Galway, Ireland"
"Facebook says it's removed more ISIS content by actively looking for it 
   ",Global
"   is a cost-effective professional network for recruiters, and higher quality candidates that allows you to connect t",Indonesia
"""When an online service is free, you're not the customer - you're the product."" - Im amazed that people are so in shock about Cambridge Analytica. This is Facebooks business model. Regulation cant happen soon enough.   ",
" capitalize on  new issues

              ","Maui, Hawaii"
Well this is an interesting new  development post  ,"New York, NY"
  Does  sound like  the Frog?   I guess he won't be running for President,
"Researcher behind Cambridge Analytica flap: Mark Zuckerberg is 'totally' a hypocrite.

What a  







",Here
"How  can give us back control of our identity and help avoid another  ( scandal 
   
 
  ",Italy
"Govs augment their own national security with  data - they'd got no clout to suspend the social media

  ",
"   
 Testifies  [VIDEO]    via   


 
 
 
   ",In The Cut
"   
 Testifies  [VIDEO]    via   


 
 
 
  ",In The Cut
I feel liberated!  ,Pacific Northwest
"I love social media, but I've always been very aware of the info I provide and who can access my data. Take a scan of this piece I wrote about how blockchain could be a potential solution in the wake of  ","Toronto, Ontario"
"THREAD:
Let's keep the heat on the Oppressive Globalist Puppet 
Researcher behind Cambridge Analytica flap: Mark Zuckerberg is 'totally' a hypocrite 






","Land of Free, Home of the Brave"
 Great interview on  Interesting comment at approx 3:25: Kogan *seems* be saying $FB's existing ad platform is a better tool to harvest user data than the app he built for  ...,NYC Metro Area
"Please be the change you want to see in the world and sign this petition 
      ",
"Facebook Privacy: Third Party App Facebook Access
    ","Kentucky, USA"
     Don't leave your valuables in your hotel room. ,"Seattle, WA"
So when we kid on that Facebook is listening. I ain't kidding no more! This popped up on my suggested posts. Never have I searched for shoes for my wedding. Yet here are wedding trainers with the exact date of my wedding    ,"Glasgow, Scotland"
"Facebook needs to target ""Hate Groups, Stalkers, Bullies, Advocates of Violence, Harassive Posts"" urges End Discrimination Now. 
All FAKE SITES need to be scrutinized for illicit ""agendas"". ""We know the signs"", Foumder asserts.    ",Manhattan NY
"""As the current  illustrates, which created a run on some tech stocks, its not all smooth-sailing. However, tech firms remain confident.""

Will tech remain the dominant driver of U.S. office demand? ","San Francisco, CA"
"           Let him who is without sin cast the first stone...

",Metroville
"A must read for anyone who cares about the way their  is being used by  
   
",Israel/NYC
"Facebook will move the data of 1.5 billion users to avoid  new privacy law. This shift in responsibility comes despite  promise to protect user  
The old privacy switcheroo:  |  
   ","Phoenix, AZ, USA"
 A song I write about Mark Zuckerberg. No hard feelings Zuccs x           ,United Kingdom
Maybe we should have seen this coming sooner. Facebooks been asking this question periodically for months.   ,"Edinburg, TX"
"I find it rather hilarious how many ""important updates to our policy"" emails I've been getting the past couple weeks. I'm sure it's purely coincidental that I happen to be getting these updates during the  saga.","Marlborough, MA"
New Yorkers interest in deleting  accounts doubled in March   ,"Watertown, NY"
"Love it... New to me... If you are not paying for a service, you ARE the service  how apropos! Account deleted as of TODAY (had to wait 14)    and both these Services are working to skew our elections   know it! ","San Diego, CA"
  In the wake of the  scandal and the testimony of  before  Americans seem to have,
In the wake of the  scandal and the testimony of  before  Americans seem to have a bigger appetite for  of  and  platforms. This is what  wrote about this story on  ,"Washington, DC"
"   FB Leaning Left
 
 ","Manila, Philippines"
"Americans seem ready to   especially  platforms, in the wake of   ",
  A  cartoon from the current issue of Prospect magazine.  ,Shropshire in England
Honestly Facebook must have the data on what you have searched because today I have sesrched for boots and phone cases and today I have had advertisements on Facebook for similar products on similar sites??  ,"Liverpool, England"
"  How can companies make the  work in light of the  With a  Bill of Rights, says ","San Mateo, CA"
" +1-844-891-8764    Number |  Tech  Phone Number
 ","California, USA"
  The Lords want to stop big tech monopolising the control of data and even ban the use of unexplainable  algorithms. Do t,
"   is  cambridge analytica. Friends don't get fooled.

      ", India
"  Who's To Blame: Facebook or Cambridge Analytica or Us the Users?

Listen to  and I thoughts on ",Chicago
"Aleksandr Kogan who gave Facebook user's data to Cambridge analytica has said that the users and their friends data was available to anybody who wanted it who was a developer.

    ",
Facebook stock downgraded for first time since Cambridge Analytica  $FB    ,
"   Mr Avenatti, maybe you could represent the people in a lawsuit against trump,    and the GOP/RNC for invasion of privacy &amp; intentional emotional distress? A girl can hope, can't she?",Germany
" is actually saving the UK  -    (and a lot of others) are defining the agenda more than the opposition.

 ",London
"Who's To Blame: Facebook or Cambridge Analytica or Us the Users?

Listen to  and I thoughts on  


 ","Manassas, VA"
" 
Never could stand Facebook! ","New Orleans, LA"
"  called with that  question
 ",
"  Now there is a smart speaker that I wouldn't trust to have in my home.


",
"How can companies make the  work in light of the  With a  Bill of Rights, says    via ","San Francisco, CA"
" did not even mention  connection to Cambridge university, ","walnut creek, ca"
  Face off:  the next big digital privacy scandal      ,London
After discussing the  on  with    and Kelser COO &amp; CTO Jon Stone took a moment in the green room to share another thought there wasn't time for on the air.  ,"Glastonbury, CT"
  Five questions that stumped  Mark Zuckerberg:  | By   ,
The Lords want to stop big tech monopolising the control of data and even ban the use of unexplainable  algorithms. Do they stand a chance? Read all:       ,"London, England"
"Why yes  DOES go against your TOS/Community Standards. And...all those that work their know better. You do. Be adults, and not pansy little wishy washy children.      ","Idaho, USA"
Martin Lewis  taking on Facebook         ,"London, UK"
"  Absolutely,I agree with  ,after Ex-  admitted Republican tried to Use Millions of  Users Data in 2016 election,biggest  , should restore trust,faith of Users to assure Data protection,privacy....",
"Absolutely,I agree with  ,after Ex-  admitted Republican tried to Use Millions of  Users Data in 2016 election,biggest  , should restore trust,faith of Users to assure Data protection,privacy.... ",
Coming up next Sam Park from Instinct Media on keeping your privacy to yourself!    ,"Surrey, British Columbia"
"    ""The strong and immediate reaction to  data misuse incident should serve as a warning shot","Ottawa, Ontario Canada"
Feb 24 2017 around noon Kathryn o Donnell and her husband hacked into a customer email complaint to get personal info to retaililate against. With the consent from Jeremy Van ommeren and Doug Barnes.      ,"North Carolina, USA"
"  In congressional hearing, Rep.  grills  CEO Mark Zuckerberg on diversity hiring and retention pr","durham, NC"
"  My  cartoon
   ",UK
"Dave King, CEO of  ( Member) shares his views on the data debate and why this is something for countries, companies, &amp; individuals to work collaboratively on.      ","New York, NY"
  error looks weird before        ,"Chicago, IL"
 just can't win - it's hit with a new  over fake ads    ,"Chicago, IL"
  17 March 2018. Christopher Wylie reveals the truth about the Facebook data breach. We can show you everything about it.,Pune
" defense of his app reminds me of the old Nazi defense.  Don't question the ethics of your data harvesting because ""everyone else was doing it too."" No, not buying it. You &amp;  are to blame and should be prosecuted.  ","Chicago, IL"
"  ""The strong and immediate reaction to  data misuse incident should serve as a warning shot for all companies collecting and using consumer personal data.""       ","Cary, NC"
"Canada's commissioner of competition should investigate  for monopolistic behaviour, and consider regulating it as a utility, writes  professor emeritus Andrew Clement   ",Toronto
" 17 March 2018. Christopher Wylie reveals the truth about the Facebook data breach. We can show you everything about it. From news to files.
This is episode one. It's just an intro to the project.  ",United States
"17 March 2018. Christopher Wylie reveals the truth about the Facebook data breach. We can show you everything about it. From news to files.
This is episode one. It's just an intro to the project.  ",United States
"  Enough Facebook in our Face!

Sorry I ever started a page there.

 ","Illinois, USA"
No such thing as a free lunch people! Who Has More of Your Personal Data Than Facebook? Try Google.    ,"Dallas, TX"
"Will be posting some screen shots this evening of our work in progress, hopefully give you all a better insight as to what we are doing and how it will work      ","Bournemouth, England"
"""The strong and immediate reaction to  data misuse incident should serve as a warning shot for all companies collecting and using consumer personal data.""       ","Cary, NC"
Hopefully Facebook can keep our privacy their number one standard for the rest of 2018! Comment what you think about Facebook?   ,"Spicer, MN"
"Now there is a smart speaker that I wouldn't trust to have in my home.


",Toronto + Thunder Bay Ontario
Push for  regulation continues after survey confirms broad support as spillover from the  continues...perhaps if  appeared to be less of a  and more human like   would things be different?  Matters! ,"Folsom, CA"
"Man behind Facebook data breach prepares to testify before Parliament
       ",Mansoura - Egypt
11 marketers said things in this piece on what may be coming for the marketing industry in light of  data scandal. Time to get prepared. American GDPR?  ,"Boston, MA"
"Hey  what if I don't have any  account? Why the compulsion? What after 'skips' get over? May I enjoy watching?
   ",Akkalkot 
"  So this is what I call a successful advertising 
    ",?????? ?????
Face off:  the next big digital privacy scandal       ,"London, United Kingdom"
"How To Survive The Facebook Marketing Apocalypse.

 

 

","Mumbai, India"
"Enough Facebook in our Face!

Sorry I ever started a page there.

 ","Florida, USA"
"My  cartoon
   ",London
Are virtual world automated algorithms ruining our real world lives?    ,UK
A  cartoon from the current issue of Prospect magazine.  ,"Broadstairs, Kent. Have pens, will travel"
"Well  you ""only"" use data that i have give you permision to? have you already forgot  ?? ",Denmark
Is Twitter selling our data ? Do we even have our data  on Twitter? ,"Connecticut, USA"
Listening to  on  saying Facebook needs to take responsibility with the advertisements they allow on their platform... Absolutely correct! Good luck Martin with your court case!      ,"England, United Kingdom"
" to warn of higher costs as  scandal takes bite out of profits
   ","Lahore, Pakistan"
"  Facebook's ""Shadow Profiles"" how they work and how they affect your       ","Dubai, United Arab Emirates"
"Facebook's ""Shadow Profiles"" how they work and how they affect your         ","Detroit, Michigan"
"This article will help you to understand how Facebook-Cambridge Analytics breach the privacy and how it will affect your privacy.
   
        ",India
So if you dont want to accept  data terms and conditions the only option is to delete your account? Not amend how they use your data? Con   ,"London, England"
" Amen 
Read my comments below  posting. 

  
 ","Houston, TX Eng, Span, Fr"
What Comes After The Social Media Empires         ,USA
"  Have you already received the new privacy statement of Facebook ? I have, and maybe more rather than explaining the use of",
   says it will provide data to elections researchers  - ,"Narayanganj, Bangladesh"
"a final reason for finally saying goodbye to my personal Facebook account... GONE...... 
 ",Lower Slobbovia
"According to exclusive polling for The Independent, 60 percent of respondents agreed with the statement that Facebook should be fined by the government over the revelations      ","New Delhi, India"
"After  scrutiny, is  next? | ETtech    ","Noida, Uttar Pradesh"
" 



Martin Lewis to sue Facebook over fake ads which scam people out of thousands
",
Good idea. Exams for 4 year old could focus on their likes and interest and sell that data to Facebook to target adverts when they join when they are 6. Quids in.  ,London UK
"Do not want this to be true 
  


",
"The belief in Silicon Valley is that the general public must be aware that their data is being sold and shared and used to advertise to them. And nobody cares, says Aleksandr Kogan    ","New Delhi, India"
   Recent headlines have been dominated by  in the wake of the   revelat,"Zug, Switzerland"
. did a good segment on Facebooks attempts to scapegoat  - keeping up pressure for FB to get a handle on the situation.  ,Santa Cruz County CA
"Trevor Noah on Facebook Scandal &amp; Mark Zuckerberg .   
",Switzerland
 says it will provide data to elections researchers  - ,"Dhaka, Bangladesh"
"Facebook responds to government notice; data of 5 lakh users compromised.


 ",
"The major concern with social media is government's willingness; to open up back door's for end-to-end encryption, like $FB exposing users privacy and making a mockery of the legal system. 
 
 ","Melbourne, Victoria"
   How do I opt out of your awful new email terms of service that allow you to mine my contacts personal informatio,Cambridge Ontario 
Soon there's going to be a huge propaganda push by the World's ruling elite to make social networking uncool so as to gain more control of the News narrative.          ,
"Was Mark Zuckerberg upfront with Congress?  This 60 Minutes report questions his answers.  

    ",
Kogan developed the app that harvested data from  users.    ,"San Francisco, CALIFORNIA"
"We're heading more towards 1984 all the time, it's not even subtle :) TV's that can listen to you (thanks Samsung)...  is handy cause big brother is watching you in every way it can, with a little help from THEIR friends :)  ",Planet Earth
What happens when you dont read the terms of agreement   ,
"It's too late for  to ""care about privacy now"". 
 ",
Leslie Stahl has NO problem calling these liars out on their B.S. in these interviews.   ,
"So,  allowed ""friends"" to give permission for other people via an app? WTF?! Most people don't even know the majority of people on their ""friends"" list. ",
"  Anybody still using FB needs to have their head examined.



",Here
  A swath of editorials in the April 20th Earth Day issue of  --   ,Dayton ohio
"AT WAR WITH CONSERVATIVES 

Facebook,  Google and Blasting TWITTER are at war with Conservatives online 
TIME PATRIOTS TO FIGHT BACK OURSELVES 


 
",United States - Florida????
"  After 10 Hours of Questions for Mark Zuckerberg, Here's What I Still Want to Know.  ",Halifax
"A swath of editorials in the April 20th Earth Day issue of  --       | Courtesy edition of WSV here:  | To subscribe, send your billing request to news ","Sooke, BC, Canada"
It's strange to me how everyone is worked up on zberg   like fam it tells u straight up its spying on you I'm more mad at what our gov did with the info like if the Gov nukes us I'm not gotta be all mad at the one the got it from.,"Seattle, WA"
"  Fave moment of the week. ""You guys are trying to win back the public's trust, but you're running away from reporters - how","Victoria, British Columbia"
"On close inspection, the new  user agreement appears to say, we are guilty of misusing your data but Fuck You, we're going to carry on anyway. 
 ","England, United Kingdom"
"Discussion about how  uses our data has been noticably absent during the recent  debacle. Thanks  for reminding us to check what apps have access to our Google data too.
",Israel/NYC
"  Do you believe in coincidences?

How many before it becomes mathematically impossible?

 
 ",Republic of Texas
"Check out  .

My username is Shirstarburst

 
 
 
",
What Facebooks terms and conditions really ought to say   ,"San Francisco, CA"
  New poll: Facebook is the  Big Tech company that respondents believe should be heavily regulated; Amazon the least. Via ,"Somewhere, USA"
"  IT'S A GROWING LIST OF COINCIDENCE-
  
 


","Sydney, but gie me ma £10 back"
  What Zuckerberg Forgot To Mention  by         ,France / Côte d'Azur
The  has brought up a new issue of  - how do companies use  mining for users' info? ,"Berkeley, CA"
"Social media is dragging our level to unknown destiny.

It is designing mind.
And uncontrolled control over our subconscious.
 
 
",Mother Earth
Kids are better equipped about online security for sure.  ,Dubai
"  Took Steps to Secure Yourselves of Harm?    
In other words... poor reading skills ",Stateless
"A person asked me yesterday:
That's okay you're working on a project but How do you earn?

I replied promptly:
Senator! We RUN ADs 






","????, ????"
You're welcome.     ,"Alpharetta, GA"
New poll: Facebook is the  Big Tech company that respondents believe should be heavily regulated; Amazon the least. Via     ,Wherever the sun is shining!
"  3/4 And of course human trafficking ($200 BILLION +/Year Industry).    
Counterfeiting &amp; identity","U_S_A , ?"
  MARK ZUCKERBERG gets on my nerves. Facebook is setup to collect your data. This privacy leak is such a Political Stunt t,
"3/4 And of course human trafficking ($200 BILLION +/Year Industry).    
Counterfeiting &amp; identity theft is reliant on big data ($460 BILLION/Year industry)   ",America
"  ""Silicon Valley Investors Want to Fund a 'Good For Society' Facebook Replacement""   

",
"     all exciting projects that will help bring crypto to all!!

Plus...  &amp;  keep our  safe on the  RIP  help me spend my   on    ,","Liverpool, England"
"""Silicon Valley Investors Want to Fund a 'Good For Society' Facebook Replacement""   

    ","Nashville, TN"
    is the answer not for us all to  just starting using the blower a bit more?  ,"Manchester, England"
"For those wondering why I prefer Twitter over FB, here's a few screenshots of my personal  privacy breech. I'm hardly there, yet they likely scraped the info I did share.  Yay me. ",United States
So its pretty safe to say  and  have broken up?   ,Alaska
I laughed a little too hard at this  ,CT
 why are you asking about my kids and yearly income in a survey!?! with no opt out!! have you learnt nothing    ,
  FB too it upon themselves to remove my post. it looked like spam? I said it wasn't. So they restored it. Y would I pos,San Juan
"Hey, I know that guy.     ",ATL
 is actually stalking everyone    via ,
  Community  RE-TWEET after voting      ,Based in Pretoria - Gauteng - ZA
  What is $IoP?       $IoP     ,"Versailles, France"
What is $IoP?       $IoP        ,
"  ""Manufacturing consent begins by weaponizing the meme and utilizing the  algorithms of   ","Washington, DC"
  These five  could have been prevented using   solutions. Find out more: ,"Raleigh, North Carolina"
I'm currently in FB purgatory until the end of 2 weeks. One may wonder why one can't just up and quit. Almost as difficult as a messy divorce.   ,"Montana, USA"
  how is a laptop a guns or an illegal product/animal . It's a genuine hp with genuine win 8.1 pro and it's certainly not an animal   facebook suck and are losing me money    ,"London, England"
"Why is Facebook so pathetic about sorting out when someone's account is hacked? A friend of mine's FB account is being hacked to hell. Virus videos and annoying blank tag posts. Pathetic way person to report and no way friends, affected, can report. ","Falmouth, Cornwall"
" Recent headlines have been dominated by  in the wake of the   revelation. We asked  Pillars in-house  specialist, to share his thoughts on it all.  ","London, England"
 talking tough on how government institutions need to become stronger to tackle the changing digital landscape in the  scandal. What if he discovers misuse of funds in the  vote? Big test  ,"Liverpool, England"
"  FAKEBOOK - HMM &amp; AHA VIDEO COMIC
         ",Spain
  Yesterday received a  msg from one of friend regarding AMEX credit card &amp; since then every second advertisemen,
"Yes beware its WEB.
World Wibe Web
 


","Shahzadpur, Akbarpur, India"
Yesterday received a  msg from one of friend regarding AMEX credit card &amp; since then every second advertisement on my  is AMEX card. Don't know how deep the tracking issue is integrated.  ,"New Delhi, India"
"  FAKEBOOK - HMM &amp; AHA VIDEO COMIC
                
 ",
"FAKEBOOK - HMM &amp; AHA VIDEO COMIC
                
 
 ",
"        

STOP THE MIND RAPE

Your ""smart"" devices are too capable.","Hyderabad, India"
"      

STOP THE MIND RAPE

Your ""smart"" devices are too capable. And culpable. 

          ",USA
  See how the Govt of Singapore is dealing with the problem of evolution of laws to keep pace with technological advancem,
"It is time to calculate and contemplate all manners in which data is shared, and then develop serious policy positions to address.   ","London, England"
    So freedom of speech is wrong in the world of  the  also broke ,Somerset
"  How addicted are you to 

    ",
ICYMI-&gt;Theil I no longer believe that freedom and democracy are compatible.   Palantir Knows Everything About   ,North Carolina
"  Can  apply the EUs data-privacy rules worldwide? 

    ","Hyderabad, India"
"Will you pay to use Facebook?


    ","Georgia, USA"
Has Facebook Learned Its Lesson From the Cambridge Analytica Privacy Breach  And Should You Be     ,"Las Vegas, NV"
"  Note it, Social media will be one of the worst reason for world war 3.
",Rajkot/Dubai/London
Hey  ya'll can partner with  and help them redeem their trust by letting users get some of the money that Facebook makes off their data. Facebook don't be greedy.    ,"Dubai, United Arab Emirates"
"  So freedom of speech is wrong in the world of  the  also broke    , so far they have made life very uncomfortable for those that broke the law long may it continue.", Chatham 
"Privacy invasion is now one of biggest knowledge industries_ Marshall Mcluhan
      ","Frankfurt on the Main, Germany"
"FACEBOOK DATA LEAK
When you drop out without finishing your college.
 
 
 
 
 ","Chhattisgarh, India"
"As noble as it may seem that  isnt selling your private data on an open market, the reality is that it serves Facebook to keep that data under lock and key ","London, England"
"The truth is that the data users provide to  is one of its most valuable resources. It is collected, stored, and analyzed so that the company can profit from it, and as the  scandal has revealed, many Facebook users are unaware of this.","London, England"
Time to say goodbye perhaps.  ,United Kingdom
"My friend texted me about a phone on whatsapp and I was shown ads of it on Instagram, quiet odd isnt it, before that it kept on showing Honor 7x but just when my friend texted me about the name the ad changed and the culprit is facebook   ","Karachi,Pakistan"
Legislators playing catch up while pretendent to be in control.     ,"Melbourne, Victoria"
"Microsoft, Facebook, Oracle Among 34 Firms to Join Cybersecurity Tech Accord

Read Article: 

         ",Qatar
"Am not surprised, PWC is notoriously known for its blunders, the last year Oscars, the Satyam case and now this. I wonder what more is yet to come from their falsely concluded audits.    ",Hyderabad
